Type,name,Kcal
Breakfast,Spinach omelette,304
Breakfast,Semiya upma,188
Breakfast,Oats dosa,144
Breakfast,Rava upma,160
Breakfast,Idli,232
Breakfast,Besan Chilla,143
Breakfast,Poori,250
Breakfast,Cheese dosa,175
Breakfast,Aloo paratha,250
Breakfast,Neer dosa,80
Breakfast,Sabudana Khichadi,192
Breakfast,Masala dosa,140
Breakfast,Rava idli,100
Breakfast,Akki roti,152
Breakfast,Mixed dal dosa,73
Breakfast,Adai ,160
Breakfast,Oats idli,130
Breakfast,Bread upma,234
Breakfast,Pesarattu,133
Breakfast,Vada,100
Breakfast,Oats upma,140
Breakfast,Palak paratha,196
Breakfast,Methi parata,280
Breakfast,Paniyaram,160
Breakfast,Paratha,225
Breakfast,Thepla,95
Breakfast,Egg toast,140
Breakfast,Set dosa,117
Breakfast,Millet dosa,70
Breakfast,Tomato upma,100
Breakfast,Veg paratha,199
Breakfast,Aval upma,180
Breakfast,Ragi dosa,95
Breakfast,Idli upma,232
Breakfast,Ragi roti,80
Breakfast,Podi idli,180
Breakfast,Punugulu,100
Breakfast,Ragi idli,140
Breakfast,Dalia,83
Breakfast,Coconut oats,150
Breakfast,Kathi roll,97
Breakfast,Egg mayo sandwich,194
Breakfast,Egg paratha,133
Breakfast,Wheat upma,150
Breakfast,Egg spaghetti,153
Breakfast,Banana bread,200
Breakfast,Jowar upma,389
Breakfast,Jowar dosa,124
Breakfast,Dal paratha,141
Breakfast,Beetroot paratha,159
Breakfast,Veg club sandwich,220
Breakfast,Ragi rava upma,160
Breakfast,Quinoa upma,225
Breakfast,Lauki paratha,179
Breakfast,Paneer paratha,265
Breakfast,Khara bath,200
Breakfast,Oats chilla,249
Breakfast,Curd oats,150
Breakfast,Uttapam,172
Breakfast,Puffed rice upma,170
Breakfast,Oatmeal pancakes,79
Breakfast,Oats kichadi,117
Breakfast,Ragi mudde,108
Breakfast,Bread omelette sandwich,287
Breakfast,Fried egg sandwich,309
Breakfast,Sweet paniyaram,145
Breakfast,Eggless banana pancakes,120
Breakfast,Sheera,314
